Name,LLoydNumber,GrossRegisterTonnage,NetRegisterTonnage,Latest VOS,Latest ETA,Name_New,MMSI,GrossRegisterTonnage_New,NetRegisterTonnage_NEW,CallSign,Flag,Length,Beam,Draught,Deadweight,YearBuilt,OldNames,Active,YearBuilt
 APOSTOLOS A,9198305,0,0,NULL,NULL,,,,,,,,,,,,,,
0VERSEAS ROSEMAR,9232620,0,0,NULL,NULL,,,,,,,,,,,,,,
26 AGUSTOS,9238478,0,0,NULL,NULL,,,,,,,,,,,,,,
ABALONE,7529328,0,0,NULL,NULL,,,,,,,,,,,,,,
ABDALA,9571040,22414,12056,NULL,NULL,,,,,,,,,,,,,,
ABDUL,8401250,0,0,NULL,NULL,,,,,,,,,,,,,,
ABDUL RAHMAN,8122373,0,0,NULL,NULL,,,,,,,,,,,,,,
ABERDEEN,9125736,0,0,NULL,NULL,,,,,,,,,,,,,,
ABRAR,7617137,0,0,NULL,NULL,,,,,,,,,,,,,,
ACACIA ACE,8202707,0,0,NULL,NULL,,,,,,,,,,,,,,
ACAMAR,9587817,0,0,NULL,NULL,,,,,,,,,,,,,,
ACAPULCO,9111474,0,0,NULL,NULL,,,,,,,,,,,,,,
ACCURATE,9177791,0,0,NULL,NULL,,,,,,,,,,,,,,
ACE BULKER,9289855,0,0,VOS0000025765,6/17/2019 6:00,,,,,,,,,,,,,,
ACM DAISY,9011947,0,0,NULL,NULL,,,,,,,,,,,,,,
ADAM I,7532844,0,0,NULL,NULL,,,,,,,,,,,,,,
ADDU COMMET,9172399,0,0,NULL,NULL,,,,,,,,,,,,,,
ADFINES NORTH,9621869,0,0,NULL,NULL,,,,,,,,,,,,,,
ADFINES SKY,9580986,0,0,NULL,NULL,,,,,,,,,,,,,,
ADMIRAL L,8817643,0,0,NULL,NULL,,,,,,,,,,,,,,
ADONIA,9150913,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIA ACE,9446881,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIAN ,9123221,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIATIC HIGHWAY,9442885,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIATIC ID,9044023,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIATIC PEARL,7909877,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIATIC WAVE,9387918,0,0,VOS0000037324,4/18/2020 0:00,,,,,,,,,,,,,,
ADRIATIC WIND,8207018,0,0,NULL,NULL,,,,,,,,,,,,,,
ADRIATICBORG,9546497,0,0,NULL,NULL,,,,,,,,,,,,,,
ADVENTURE,8817655,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN AMUAY,7901277,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN FALCON,9227792,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN FORCE,8007080,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN HIGHWAY,9464388,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN IX,7402623,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN SEA,8008292,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN TIFFANY,9314478,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGEAN X,8209664,0,0,NULL,NULL,,,,,,,,,,,,,,
AEGIR,9162095,0,0,NULL,NULL,,,,,,,,,,,,,,
AENEAS,9426790,0,0,NULL,NULL,,,,,,,,,,,,,,
AEOLOS,9228382,0,0,VOS0000021347,2/16/2019 0:00,,,,,,,,,,,,,,
AETOS I,9225524,0,0,NULL,NULL,,,,,,,,,,,,,,
AFEA,8103286,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRA WILLOW,9251822,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN ALBATROSS,9493509,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN BEGONIA,7812464,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN FALCON,9357058,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN FUTURE,9289154,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN GLORY,9177492,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN HALYCON,9343613,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN HAWK,9284362,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN LUNDE,9713961,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRICAN WILDCAT,9125229,0,0,NULL,NULL,,,,,,,,,,,,,,
AFRODITE I,9292620,0,0,VOS0000005726,10/14/2017 5:00,,,,,,,,,,,,,,
AGAMEMNON,8118255,0,0,NULL,NULL,,,,,,,,,,,,,,
AGAPI S,9514822,0,0,NULL,NULL,,,,,,,,,,,,,,
AGATA M,8710687,0,0,NULL,NULL,,,,,,,,,,,,,,
AGENA,9197430,0,0,VOS0000019206,12/7/2018 19:00,,,,,,,,,,,,,,
AGENA I,9587831,0,0,NULL,NULL,,,,,,,,,,,,,,
AGGELIKI P,9146302,0,0,NULL,NULL,,,,,,,,,,,,,,
AGIA MARINA,7207542,0,0,NULL,NULL,,,,,,,,,,,,,,
AGILE,9177777,0,0,NULL,NULL,,,,,,,,,,,,,,
AGIOS ANDREAS 1,6418390,0,0,NULL,NULL,,,,,,,,,,,,,,
AGIOS LOUKAS,7420259,0,0,NULL,NULL,,,,,,,,,,,,,,
AGNES RICMERS,9289972,0,0,NULL,NULL,,,,,,,,,,,,,,
AHS HAMBURG,9406934,0,0,VOS0000040494,8/20/2020 3:00,,,,,,,,,,,,,,
AIDAAURA,9221566,0,0,NULL,NULL,,,,,,,,,,,,,,
AIDABELLA,9362542,0,0,NULL,NULL,,,,,,,,,,,,,,
AIDADIVA,9334856,0,0,NULL,NULL,,,,,,,,,,,,,,
AIDALUNA,9334868,0,0,NULL,NULL,,,,,,,,,,,,,,
AIDAMAR,9490052,0,0,NULL,NULL,,,,,,,,,,,,,,
AIDAVITA,9221554,0,0,NULL,NULL,,,,,,,,,,,,,,
AIGRAN D,9138408,0,0,VOS0000033871,2/11/2020 8:00,,,,,,,,,,,,,,
AINU PRINCESS,8306929,0,0,NULL,NULL,,,,,,,,,,,,,,
AJAX,9289518,0,0,NULL,NULL,,,,,,,,,,,,,,
AKADEMIK GOLITSYN,8119003,0,0,NULL,NULL,,,,,,,,,,,,,,
AKADEMIK SHATSKIY,8407010,0,0,NULL,NULL,,,,,,,,,,,,,,
AKADIMOS,9706308,59714,96424,VOS0000040247,8/14/2020 23:00,,,,,,,,,,,,,,
AKERAIOS,9328297,0,0,NULL,NULL,,,,,,,,,,,,,,
AL AIN,9044281,0,0,NULL,NULL,,,,,,,,,,,,,,
AL IDRISI,9572707,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAATTIN BEY,9347748,0,0,VOS0000012223,5/9/2018 8:00,,,,,,,,,,,,,,
ALABAMA BELLE,8412144,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAM SEMPURNA,8312071,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAM SENANG,8308812,0,0,NULL,NULL,,,,,,,,,,,,,,
ALAYA,9515280,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBACORE,1209251,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBANE,9250684,0,0,VOS0000023245,4/8/2019 16:00,,,,,,,,,,,,,,
ALBARELLA,8115332,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBATROS,7304314,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBERT OLDENDORFF,9272773,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBERT RICKMERS,9152741,0,0,NULL,NULL,,,,,,,,,,,,,,
ALBION BAY,9496989,0,0,NULL,NULL,,,,,,,,,,,,,,
ALDA,8100882,0,0,NULL,NULL,,,,,,,,,,,,,,
ALDERNY,9280718,0,0,VOS0000007071,11/28/2017 5:00,,,,,,,,,,,,,,
ALEKSANDR POKRYSHKIN,8623896,0,0,NULL,NULL,,,,,,,,,,,,,,
ALERT I,9177789,0,0,NULL,NULL,,,,,,,,,,,,,,
