Name                                                                                                                                                                                                                                                           ,CountryID ,flag ,LLoydNumber ,CallSignNumber                      ,Draft                                   ,DraftMax                                ,LengthOverall                           ,BreadthOverall                          ,GrossRegisterTonnage                    ,NetRegisterTonnage                      ,Expr1                                                                                                                            ,Description
MARTINA C                                                                                                                                                                                                                                                        ,IMN       ,IMN  ,9610614     ,10594                               ,7.06                                    ,NULL                                    ,104.11                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
JOH. GORTHON                                                                                                                                                                                                                                                     ,SWE       ,SWE  ,7617955     ,7288                                ,6.37                                    ,NULL                                    ,147.12                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FAIRCHEM GENESIS                                                                                                                                                                                                                                                 ,PAN       ,PAN  ,9324825     ,8413                                ,8.81                                    ,NULL                                    ,125.00                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SIRENA BLUE                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,7024093     ,7666                                ,6.15                                    ,NULL                                    ,77.18                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
APELLIS                                                                                                                                                                                                                                                          ,PAN       ,PAN  ,9467976     ,11002                               ,0.00                                    ,NULL                                    ,172.22                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
TUG OCOA                                                                                                                                                                                                                                                         ,CAN       ,CAN  ,9256585     ,8179                                ,4.78                                    ,NULL                                    ,23.81                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
TRENT NAVIGATOR                                                                                                                                                                                                                                                  ,NLD       ,NLD  ,9631369     ,11113                               ,0.00                                    ,NULL                                    ,112.29                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
EAGLE BAY                                                                                                                                                                                                                                                        ,ANT       ,ANT  ,9038488     ,7741                                ,9.07                                    ,NULL                                    ,150.01                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
INDIAN CLIPPER                                                                                                                                                                                                                                                   ,PAN       ,PAN  ,8008084     ,7418                                ,8.62                                    ,NULL                                    ,75.12                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
POSEN                                                                                                                                                                                                                                                            ,ATG       ,ATG  ,9056052     ,8494                                ,5.52                                    ,NULL                                    ,81.85                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PLEASE PLEASE ME                                                                                                                                                                                                                                                 ,HKG       ,HKG  ,9087805     ,7437                                ,9.77                                    ,NULL                                    ,162.86                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
NOR MERCHANT                                                                                                                                                                                                                                                     ,SGP       ,SGP  ,9310575     ,11244                               ,0.00                                    ,NULL                                    ,130.11                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
WICHITA BELLE                                                                                                                                                                                                                                                    ,PHL       ,PHL  ,9002166     ,8862                                ,10.10                                   ,NULL                                    ,162.95                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
EKMEN TRANS                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,9204348     ,10223                               ,6.92                                    ,NULL                                    ,99.02                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SUMMER BAY                                                                                                                                                                                                                                                       ,BHS       ,BHS  ,8410586     ,7857                                ,9.53                                    ,NULL                                    ,158.53                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
CARIB PLUS                                                                                                                                                                                                                                                       ,JAM       ,JAM  ,7816111     ,9689                                ,3.66                                    ,NULL                                    ,83.60                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
THORCO CRYSTAL                                                                                                                                                                                                                                                   ,ATG       ,ATG  ,9294965     ,11301                               ,0.00                                    ,NULL                                    ,18.25                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
DU AN CHENG                                                                                                                                                                                                                                                      ,HKG       ,HKG  ,9484039     ,11427                               ,0.00                                    ,NULL                                    ,169.02                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
POLARSTREAM                                                                                                                                                                                                                                                      ,NLD       ,NLD  ,9189885     ,7732                                ,9.90                                    ,NULL                                    ,144.91                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
GADWALL                                                                                                                                                                                                                                                          ,CHN       ,CHN  ,9358369     ,8720                                ,10.75                                   ,NULL                                    ,192.71                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC AUSTRIA                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9433327     ,11674                               ,7.59                                    ,NULL                                    ,113.75                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
YL CONFIDENCE                                                                                                                                                                                                                                                    ,BHS       ,BHS  ,9169809     ,8807                                ,8.21                                    ,NULL                                    ,96.52                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SEA HONEST                                                                                                                                                                                                                                                       ,PAN       ,PAN  ,9142100     ,7469                                ,0.00                                    ,NULL                                    ,162.86                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
INDUSTRIAL ACHIEVER                                                                                                                                                                                                                                              ,ANT       ,ANT  ,8303185     ,8070                                ,4.97                                    ,NULL                                    ,96.85                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
PALABORA                                                                                                                                                                                                                                                         ,ATG       ,ATG  ,9501875     ,11909                               ,0.00                                    ,NULL                                    ,123.91                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
TAI AN CHENG                                                                                                                                                                                                                                                     ,CHN       ,CHN  ,9015008     ,8857                                ,10.00                                   ,NULL                                    ,163.50                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
INTERLINK PRIORITY                                                                                                                                                                                                                                               ,MHL       ,MHL  ,9721425     ,11925                               ,0.00                                    ,NULL                                    ,176.97                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC POLONIA                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9415325     ,11146                               ,0.00                                    ,NULL                                    ,115.63                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ULUSOY-9                                                                                                                                                                                                                                                         ,TUR       ,TUR  ,9498884     ,9702                                ,8.00                                    ,NULL                                    ,126.32                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
THERESE                                                                                                                                                                                                                                                          ,PAN       ,PAN  ,7206756     ,7879                                ,5.12                                    ,NULL                                    ,85.44                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
RED SPIRIT                                                                                                                                                                                                                                                       ,MLT       ,MLT  ,9135846     ,9194                                ,6.40                                    ,NULL                                    ,97.30                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SKJOLDBORG                                                                                                                                                                                                                                                       ,MLT       ,MLT  ,7602223     ,7640                                ,10.21                                   ,NULL                                    ,151.77                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
YONG AN CHENG                                                                                                                                                                                                                                                    ,CHN       ,CHN  ,8919532     ,10316                               ,10.00                                   ,NULL                                    ,163.50                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
GENCO CHAMPION                                                                                                                                                                                                                                                   ,HKG       ,HKG  ,9350094     ,11366                               ,0.00                                    ,NULL                                    ,161.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
KERES                                                                                                                                                                                                                                                            ,TZA       ,TZA  ,7523996     ,8519                                ,3.90                                    ,NULL                                    ,66.91                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC ARIZONA                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9501253     ,9652                                ,7.50                                    ,NULL                                    ,130.71                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
ADRIATICBORG                                                                                                                                                                                                                                                     ,NLD       ,NLD  ,9546497     ,11759                               ,0.00                                    ,NULL                                    ,133.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
NBP STEAMER                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9505584     ,10886                               ,0.00                                    ,NULL                                    ,103.29                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
CEC FUTURE                                                                                                                                                                                                                                                       ,BHS       ,BHS  ,9076351     ,9749                                ,7.32                                    ,NULL                                    ,94.35                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
AMERICAN TANKER                                                                                                                                                                                                                                                  ,BLZ       ,BLZ  ,8132316     ,7136                                ,4.32                                    ,NULL                                    ,56.08                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SEA HARMONY I                                                                                                                                                                                                                                                    ,PAN       ,PAN  ,9339791     ,8876                                ,9.78                                    ,NULL                                    ,161.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
GOLDEN TAKA                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,9305544     ,9605                                ,9.57                                    ,NULL                                    ,136.41                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC ICELAND                                                                                                                                                                                                                                                      ,ATG       ,ATG  ,9173331     ,9457                                ,6.40                                    ,NULL                                    ,94.15                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
SUMMER MEADOW                                                                                                                                                                                                                                                    ,BHS       ,BHS  ,8407814     ,7861                                ,9.50                                    ,NULL                                    ,158.53                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
MERATUS PROJECT 1                                                                                                                                                                                                                                                ,IDN       ,IDN  ,9197014     ,9744                                ,5.71                                    ,NULL                                    ,95.88                                   ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
FONTHIDA NAREE                                                                                                                                                                                                                                                   ,THA       ,THA  ,9108594     ,8408                                ,9.77                                    ,NULL                                    ,162.86                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC KWIATKOWSKI                                                                                                                                                                                                                                                  ,ATG       ,ATG  ,9436953     ,10966                               ,0.00                                    ,NULL                                    ,115.63                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BBC THAMES                                                                                                                                                                                                                                                       ,LBR       ,LBR  ,9368340     ,11981                               ,0.00                                    ,NULL                                    ,133.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
BRYGGEN                                                                                                                                                                                                                                                          ,NOR       ,NOR  ,9043093     ,8584                                ,10.20                                   ,NULL                                    ,147.62                                  ,NULL                                    ,0.00                                    ,0.00                                    ,General cargo vessel                                                                                                             ,Vessel designed to carry general cargo.
